workshop,冲压二车间,PR2
workshop,冲压三车间,PR3
workshop,冲压一车间,PR1
workshop,焊接二车间,WE2
workshop,焊接三车间,WE3
workshop,焊接一车间,WE1
workshop,涂装二车间,PA2
workshop,涂装三车间,PA3
workshop,涂装一车间,PA1
workshop,总装二车间,GA2
workshop,总装三车间,GA3
workshop,总装一车间,GA1
mm,辅助设备,mm01
mm,工艺设备,mm02
mm,线首线尾,mm03
mm,输送设备,mm04
mm,线首线尾,mm05
mm,机器人设备,mm06
VRT,电动提升门,VRT001
VRT,空调风机,VRT002
VRT,立体库,VRT003
VRT,模具清洗间,VRT004
VRT,机械手,VRT005
VRT,试模压机,VRT006
VRT,压机,VRT007
VRT,穿梭机,VRT008
VRT,对中台,VRT009
VRT,垛料小车,VRT010
VRT,清洗机,VRT011
VRT,扫描仪,VRT012
VRT,双料检测器装置,VRT013
VRT,线首皮带机,VRT014
VRT,线尾皮带机,VRT015
VRT,干冰清洗机,VRT016
VRT,空压机,VRT017
VRT,水泵房,VRT018
VRT,摇臂钻床,VRT019
VRT,废料输送链,VRT020
VRT,磁性分张器,VRT021
VRT,机器人,VRT022
VRT,T型钉焊机,VRT023
VRT,包边机,VRT024
VRT,夹具库,VRT025
VRT,扣合压力机,VRT026
VRT,傀儡焊/自动焊,VRT027
VRT,排烟除尘设备,VRT028
VRT,压机换模系统,VRT029
VRT,中频焊机,VRT030
VRT,组合式空调,VRT031
VRT,NC,VRT032
VRT,SCA自动涂胶机,VRT033
VRT,固瑞克自动涂胶机,VRT034
VRT,机器人本体,VRT035
VRT,机器人焊钳,VRT036
VRT,机器人弧焊,VRT037
VRT,机器人换枪盘,VRT038
VRT,机器人刻字机,VRT039
VRT,机器人螺柱焊/植钉,VRT040
VRT,机器人视觉检测,VRT041
VRT,机器人在线检测,VRT042
VRT,机器人抓手,VRT043
VRT,伺服抓手,VRT044
VRT,APC,VRT045
VRT,EMS,VRT046
VRT,侧顶机,VRT047
VRT,地板链,VRT048
VRT,堆拆垛机,VRT049
VRT,高速辊床,VRT050
VRT,滑台,VRT051
VRT,普通辊床,VRT052
VRT,升降机,VRT053
VRT,旋转辊床,VRT054
VRT,移行机,VRT055
VRT,移载机,VRT056
VRT,转毂,VRT057
VRT,转台,VRT058
VRT,CO2保护焊机,VRT059
VRT,LK悬挂式焊机,VRT060
VRT,电动葫芦,VRT061
VRT,挤胶泵,VRT062
VRT,拉拔机,VRT063
VRT,螺柱焊机,VRT064
VRT,气动葫芦,VRT065
VRT,手动弧焊机（CMT）,VRT066
